Surname,Name,Nationality,Commons File name,Commons Personal category,Wikidata ID
Maruotti,Gabriele,ITA,File:Gabriele Maruotti (Legavolley 2017).jpg,Category:Gabriele Maruotti,Q3756636
Massari,Jacopo,ITA,File:Jacopo Massari (Legavolley 2017).jpg,Category:Jacopo Massari,Q16268512
Mattei,Andrea,ITA,File:Andrea Mattei (Legavolley 2017).jpg,Category:Andrea Mattei,Q18923606
Mauti,Pierpaolo,ITA,File:Pierpaolo Mauti (Legavolley 2017).jpg,Category:Pierpaolo Mauti,Q46994950
Mazza,Federico,ITA,File:Federico Mazza (Legavolley 2017).jpg,Category:Federico Mazza,Q46994951
Mazzone,Daniele,ITA,File:Daniele Mazzone (Legavolley 2017).jpg,Category:Daniele Mazzone,Q15927093
Mazzone,Tiziano,ITA,File:Tiziano Mazzone (Legavolley 2017).jpg,Category:Tiziano Mazzone,Q17399566
Mazzon,Riccardo,ITA,File:Riccardo Mazzon (Legavolley 2017).jpg,Category:Riccardo Mazzon,Q46994958
Menardo,Michael,ITA,File:Michael Menardo (Legavolley 2017).jpg,Category:Michael Menardo,Q46994964
Mengozzi,Stefano,ITA,File:Stefano Mengozzi (Legavolley 2017).jpg,Category:Stefano Mengozzi,Q16268538
Menicali,Michael,ITA,File:Michael Menicali (Legavolley 2017).jpg,Category:Michael Menicali,Q46994967
Mercorio,Mario,ITA,File:Mario Mercorio (Legavolley 2017).jpg,Category:Mario Mercorio,Q21030439
Milan,Sebastiano,ITA,File:Sebastiano Milan (Legavolley 2017).jpg,Category:Sebastiano Milan,Q21030441
Minnoni,Mattia,ITA,File:Mattia Minnoni (Legavolley 2017).jpg,Category:Mattia Minnoni,Q46994971
Miscione,Mirko,ITA,File:Mirko Miscione (Legavolley 2017).jpg,Category:Mirko Miscione,Q46994985
Mochalski,Eric,USA,File:Eric Mochalski (Legavolley 2017).jpg,Category:Eric Mochalski,Q42670904
Monguzzi,Dario,ITA,File:Dario Monguzzi (Legavolley 2017).jpg,Category:Dario Monguzzi,Q46995001
Monopoli,Natale,ITA,File:Natale Monopoli (Legavolley 2017).jpg,Category:Natale Monopoli,Q3870621
Montò,Davide,ITA,File:Davide Montò (Legavolley 2017).jpg,Category:Davide Montò,Q46995009
Morelli,Michele,ITA,File:Michele Morelli (Legavolley 2017).jpg,Category:Michele Morelli (volleyball player),Q46995020
Morgese,Davide,ITA,File:Davide Morgese (Legavolley 2017).jpg,Category:Davide Morgese,Q46995023
Mosca,Leandro,ITA,File:Leandro Mosca (Legavolley 2017).jpg,Category:Leandro Mosca,Q46995025
Motzo,Matheus,ITA,File:Matheus Motzo (Legavolley 2017).jpg,Category:Matheus Motzo,Q46995028
Musardo,Donato,ITA,File:Donato Musardo (Legavolley 2017).jpg,Category:Donato Musardo,Q46995029
Nannini,Filippo,ITA,File:Filippo Nannini (Legavolley 2017).jpg,Category:Filippo Nannini,Q46995031
Nelli,Gabriele,ITA,File:Gabriele Nelli (Legavolley 2017).jpg,Category:Gabriele Nelli,Q15918510
Nemec,Martin,SVK,File:Martin Nemec (Legavolley 2017).jpg,Category:Martin Nemec,Q17375760
Olivati,Andrea,ITA,File:Andrea Olivati (Legavolley 2017).jpg,Category:Andrea Olivati,Q46995033
Onwuelo,Samuel,ITA,File:Samuel Onwuelo (Legavolley 2017).jpg,Category:Samuel Onwuelo,Q46995036
Orduna,Santiago,ITA,File:Santiago Orduna (Legavolley 2017).jpg,Category:Santiago Orduna,Q18419410
Ottaviani,Giuseppe,ITA,File:Giuseppe Ottaviani (Legavolley 2017).jpg,Category:Giuseppe Ottaviani,Q46995038
Pace,Domenico,ITA,File:Domenico Pace (Legavolley 2017).jpg,Category:Domenico Pace,Q46995044
Padura Diaz,Williams,ITA,File:Williams Padura Diaz (Legavolley 2017).jpg,Category:Williams Padura Diaz,Q46995047
Pajenk,Alen,SLO,File:Alen Pajenk (Legavolley 2017).jpg,Category:Alen Pajenk,Q2832654
Panciocco,Marco Rocco,ITA,File:Marco Rocco Panciocco (Legavolley 2017).jpg,Category:Marco Rocco Panciocco,Q46995050
Paoletti,Matteo,ITA,File:Matteo Paoletti (Legavolley 2017).jpg,Category:Matteo Paoletti,Q3852170
Paoli,Alessandro,ITA,File:Alessandro Paoli (Legavolley 2017).jpg,Category:Alessandro Paoli,Q3610192
Paolucci,Adriano,ITA,File:Adriano Paolucci (Legavolley 2017).jpg,Category:Adriano Paolucci,Q16524647
Paris,Matteo,ITA,File:Matteo Paris (Legavolley 2017).jpg,Category:Matteo Paris,Q16577147
Parodi,Simone,ITA,File:Simone Parodi (Legavolley 2017).jpg,Category:Simone Parodi,Q1792943
Partenio,Pier Paolo,ITA,File:Pier Paolo Partenio (Legavolley 2017).jpg,Category:Pier Paolo Partenio,Q16795601
Parusso,Michele,ITA,File:Michele Parusso (Legavolley 2017).jpg,Category:Michele Parusso,Q46995057
Patch,Benjamin,USA,File:Benjamin Patch (Legavolley 2017).jpg,Category:Benjamin Patch,Q30643220
Patriarca,Stefano,ITA,File:Stefano Patriarca (Legavolley 2017).jpg,Category:Stefano Patriarca,Q16610317
Peda,Janis,LAT,File:Janis Peda (Legavolley 2017).jpg,Category:Janis Peda,Q3191222
Pedron,Matteo,ITA,File:Matteo Pedron (Legavolley 2017).jpg,Category:Matteo Pedron,Q46995063
Penning,Mitchell,USA,File:Mitchell Penning (Legavolley 2017).jpg,Category:Mitchell Penning,Q42671072
Percoco,Giacomo,ITA,File:Giacomo Percoco (Legavolley 2017).jpg,Category:Giacomo Percoco,Q46995064
