Name,Surname,Nome file,Wikidata ID
Lazar,Koprivica,Lazar Koprivica (Legavolley 2017),Q22278685
Kardo,Koresaar,Kardo Koresaar (Legavolley 2011),Q55265925
Stanislav,Korniienko,Stanislav Korniienko (Legavolley 2015),Q55265928
Viktors,Korzenevics,Viktors Korzenevics (Legavolley 2014),Q11901422
Yu,Koshikawa,Yu Koshikawa (Legavolley 2011),Q1758580
Damir,Kosmina,Damir Kosmina (Legavolley 2012),Q55265939
Rafail,Koumentakis,Rafail Koumentakis (Legavolley 2015),Q17154441
Andrea,Kouznetsov,Andrea Kouznetsov (Legavolley 2014),Q55265940
Jakub,Kovac,Jakub Kovac (Legavolley 2017),Q55265941
Ivan,Krachev,Ivan Krachev (Legavolley 2017),Q55265944
Jiri,Kral,Jiri Kral (Legavolley 2011),Q3808504
Humphrey Anthony,Krolis,Humphrey Anthony Krolis (Legavolley 2015),Q55265948
Robert,Kromm,Robert Kromm (Legavolley 2011),Q471186
Davis,Krumins,Davis Krumins (Legavolley 2015),Q16268463
Bartosz,Kurek,Bartosz Kurek (Legavolley 2014),Q809573
Jonas,Kvalen,Jonas Kvalen (Legavolley 2016),Q11728158
Alessandro,La Forgia,Alessandro La Forgia (Legavolley 2011),Q55265970
Lorenzo,Labardi,Lorenzo Labardi (Legavolley 2011),Q55265967
Leonardo,Lacatena,Leonardo Lacatena (Legavolley 2016),Q55265969
Davidson,Lampariello,Davidson Lampariello (Legavolley 2015),Q16548869
Luca,Laneri,Luca Laneri (Legavolley 2016),Q55265985
Eustachio,Lapacciana,Eustachio Lapacciana (Legavolley 2014),Q55265987
Maurizio,Latelli,Maurizio Latelli (Legavolley 2012),Q3852629
Pietro Luca,Latorre,Pietro Luca Latorre (Legavolley 2015),Q55265988
Niccolò,Lattanzi,Niccolò Lattanzi (Legavolley 2011),Q16582301
Antonio,Lavia,Antonio Lavia (Legavolley 2012),Q55265989
Bradley,Lawson Colgate,Bradley Lawson Colgate (Legavolley 2012),Q55265993
Nicola,Lazzari,Nicola Lazzari (Legavolley 2016),Q55265995
Kevin,Le Roux,Kevin Le Roux (Legavolley 2016),Q3201162
Martin,Lebl,Martin Lebl (Legavolley 2011),Q933707
Jukka,Lehtonen,Jukka Lehtonen (Legavolley 2011),Q3188304
Lucas,Lemanski Salim,Lucas Lemanski Salim (Legavolley 2016),Q55266010
David,Lensi,David Lensi (Legavolley 2014),Q16548793
Nicola,Leonardi,Nicola Leonardi (Legavolley 2012),Q3876255
Luca,Leoni,Luca Leoni (Legavolley 2012),Q55266015
Antonio,Libraro,Antonio Libraro (Legavolley 2011),Q55266021
Marco,Lipparini,Marco Lipparini (Legavolley 2016),Q11767943
Kirill,Listratov,Kirill Listratov (Legavolley 2016),Q55266026
Milan,Lizala,Milan Lizala (Legavolley 2011),Q55266027
Marco,Lo Bianco,Marco Lo Bianco (Legavolley 2014),Q3846218
Marco,Loglisci,Marco Loglisci (Legavolley 2011),Q3846216
Davide,Lollato,Davide Lollato (Legavolley 2016),Q55266033
Andrea,Longo,Andrea Longo (Legavolley 2015),Q55266052
Drazen,Luburic,Drazen Luburic (Legavolley 2015),Q22006383
Julien,Lyneel,Julien Lyneel (Legavolley 2016),Q3189583
William,Maestrelli,William Maestrelli (Legavolley 2014),Q55266066
Alberto,Magalini,Alberto Magalini (Legavolley 2017),Q55266069
Mladen,Majdak,Mladen Majdak (Legavolley 2015),Q3317417
Davide,Manassero,Davide Manassero (Legavolley 2016),Q21030432
Nicolò,Mancin,Nicolò Mancin (Legavolley 2016),Q55266075
Tomislav,Maniero,Tomislav Maniero (Legavolley 2012),Q55266076
Simone,Marcovecchio,Simone Marcovecchio (Legavolley 2016),Q55266123
Lorenzo,Maretti,Lorenzo Maretti (Legavolley 2017),Q55266108
Goran,Maric,Goran Maric (Legavolley 2015),Q3110807
Simone,Marini,Simone Marini (Legavolley 2011),Q55266122
Mario,Marolda,Mario Marolda (Legavolley 2011),Q55266118
Alessandro,Marta,Alessandro Marta (Legavolley 2016),Q55266078
Matteo,Martino,Matteo Martino (Legavolley 2013),Q2274886
Luca,Marzo,Luca Marzo (Legavolley 2016),Q55266117
Marco,Marzola,Marco Marzola (Legavolley 2014),Q55266120
Andrea,Masini,Andrea Masini (Legavolley 2017),Q55266124
Luigi,Mastrangelo,Luigi Mastrangelo (Legavolley 2013),Q965931
Josè,Matheus,Josè Matheus (Legavolley 2012),Q55266126
Mattia,Matricardi,Mattia Matricardi (Legavolley 2015),Q55266147
Giordano,Mattera,Giordano Mattera (Legavolley 2014),Q3765167
Francesco,Mattioli,Francesco Mattioli (Legavolley 2012),Q3750266
Carmelo,Mazza,Carmelo Mazza (Legavolley 2015),Q55266150
Paolo,Mazzone,Paolo Mazzone (Legavolley 2016),Q55266157
Filippo,Mazzotti,Filippo Mazzotti (Legavolley 2012),Q55266152
Riley,Mc Kibbin,Riley Mc Kibbin (Legavolley 2014),Q3935824
Luka,Medic,Luka Medic (Legavolley 2014),Q55266159
Daniele,Mengozzi,Daniele Mengozzi (Legavolley 2015),Q55266160
Jeffrey,Menzel,Jeffrey Menzel (Legavolley 2012),Q3807816
Domotor,Meszaros,Domotor Meszaros (Legavolley 2011),Q3045573
Peter,Michalovic,Peter Michalovic (Legavolley 2016),Q16658062
Tommaso,Migliorin,Tommaso Migliorin (Legavolley 2016),Q55266166
Stefano,Mignolo,Stefano Mignolo (Legavolley 2011),Q55266165
Ivan,Miljkovic,Ivan Miljkovic (Legavolley 2015),Q726002
Nicolas,Miola,Nicolas Miola (Legavolley 2016),Q55266170
Costantino,Mirenda,Costantino Mirenda (Legavolley 2013),Q55266172
Emanuele,Miscio,Emanuele Miscio (Legavolley 2015),Q55266175
Andrea,Miselli,Andrea Miselli (Legavolley 2016),Q55266173
Radzivon,Miskevich,Radzivon Miskevich (Legavolley 2016),Q28859143
Mihajlo,Mitic,Mihajlo Mitic (Legavolley 2016),Q172436
Fabio,Molteni,Fabio Molteni (Legavolley 2015),Q55266177
Marco,Molteni,Marco Molteni (Legavolley 2012),Q1134601
Davide,Monesi,Davide Monesi (Legavolley 2013),Q55266180
