0COLY,ferdinand-coly
GSPMNL,manuel-gasparini
GSTDN,daniele-gastaldello
GSTNDR,andrea-agostinelli
GSTSML,samuel-gustafson
GSTVL,gustavo-lazzaretti
GTNDG,gaetano-d-agostino
GTTFB,fabio-gatti
GUALUI,luigi-gualco
GUAMT,matteo-guardalben
GUASI,simone-guarneri
GVGRC,giovanni-goracci
GZZLL,marcello-gazzola
GZZLS,alessandro-gazzi
GZZMN,niccolo-guzzo
HDBQD,umar-sadiq
HFCTQ,vittorio-parigini
HFNNV,agatino-garufi
HFSBG,ante-budimir
HGNGN,gonzalo-higuain
HGNSH,ianis-hagi
HKMWK,martin-erlic
HLJSC,oscar-hiljemark
HLLML,emil-hallfredsson
HLNFL,filip-helander
HMHNL,charalampos-lykogiannis
HMSMR,marek-hamsik
HNBFH,kingsley-boateng
HNQSN,kwang-song-han
HNRBRN,bruno-henrique
HNVSM,samir-handanovic
HPKCM,nikola-ninkovic
HRBNV,antonio-barreca
HRSPTK,petko-hristov
HRVMC,michal-hrivnak
HSKRK,erik-huseklepp
HSLSD,elseid-hysaj
HSNCLS,nicolas-haas
HTMPR,perparim-hetemaj
HTTZT,alessandro-deiola
HTVGLY,gergely-hutvagner
HUALM,hugo-almeida
HUBDA,dario-hubner
HUGOVI,vitor-hugo
HWDBN,benedikt-howedes
HXQNB,stefano-colantuono
ICRMR,mauro-icardi
IVNND,andrea-ivan
JDNBL,nabil-jaadi
JHMNT,jehad-muntasser
JHNMH,john-mensah
JHNMT,johnnier-montano
JJLMT,mato-jajalo
JKNSM,samir-ujkani
JKPRNL,arnel-jakupovic
JNKJK,jakub-jankto
JNRCS,angelo-da-costa
JNTHS,jonathas
JRDMR,mario-jardel
JRGNH,jorginho
JRSPWL,pawel-jaroszynski
JRZZZ,juarez
JUANX,juan-jesus
JULMR,mark-iuliano
JVTST,stevan-jovetic
KBTCX,gil-patric
KBXNM,adam-nagy
KKCHK,stefano-okaka
KLMMP,felipe-avenatti
KLNMH,mohamed-kallon
KLNNK,nikola-kalinic
KLRLX,aleksandar-kolarov
KLSDJN,dejan-kulusevski
KMLFR,frank-kamalu
KMRDM,diomansy-kamara
KNBSSN,ben-lhassine-kone
KNGMC,michael-kingsley
KNPNG,panagiotis-kone
KNTMM1,pa-konate
KNTMMD,mamadou-kanoute
KOLIGO,igor-kolyvanov
KOUAD,christ-kouadio
KPNKM,kamil-kopunek
KPVRS,fabrizio-poli
KQRWG,francesco-vicari
KREMIC,michel-kreek
KRGLV,oliver-kragl
KRHML,emil-krafth
KRJLD,ladislav-krejci
KRJMT,matej-krajcik
KRNLK,luka-krajnc
KRNRD,rade-krunic
KRPTTS,titas-krapikas
KRSLK,aleksandar-kristic
KRTSM,jasmin-kurtic
KSBZV,sami-khedira
KSMVT,daniele-verde
KTCHK,cheick-keita
KTKZL,erick-cabalceta
KTNDRJ,andrej-kotnik
KTZQR,francesco-cassata
KTZVT,vitaliy-kutuzov
KVQSG,luca-mazzitelli
KWNWRJ,orji-okwonkwo
KXBML,riccardo-gaiola
KXQDS,raul-oprut
LARHEN,henrik-larsen
LAYEN,stefano-layeni
LBRCS,carlos-labrin
LCCGR,luca-cigarini
LCHST,stefano-lucchini
LCMVG,norbert-gyomber
LCNRF,rafinha
LCNTO,luca-antonelli
LCRLS,alessandro-lucarelli
LCRTK,rick-karsdorp
LCSST,luca-rossettini
LCTMN,manuel-locatelli
LDCLT,carlalberto-ludi
LDFRN,francesco-lodi
LDNZL,elia-donzelli
LDNZX,riccardo-ladinetti
LFNDL,riccardo-gagliolo
LFQWW,milan-skriniar
LFSSM,simone-lo-faso
LGRTT,nicola-legrottaglie
LGXZP,george-puscas
LILND,andi-lila
LJJDM,adem-ljajic
LJMLX,jamal-alioui
LKDMR,omar-el-kaddouri
LKVLK,aleksandar-lukovic
LKXHL,bryan-cristante
LLCJS,josip-ilicic
LLCSN,senad-lulic
LLLLR,lorenzo-lollo
LLNCL,nicola-leali
LLNXX,allan
LMBCR,cristiano-lombardi
LMBMN,manuel-lombardoni
LMBRS,david-limbersky
LMBST,stefano-lombardi
LMCGL,gianluca-lamacchi
LMFSR,sergio-almiron
LMNGN,eugenio-lamanna
LMNNT,antonio-lamenza
LNCFB,fabricio-lenci
LNDRNH,leandrinho
LNGSM,samuele-longo
LNZMR,maurizio-lanzaro
LONDAM,damiano-longhi
LONRA,raffaele-longo
LOUBO,konstantinos-loumpoutis
LPDGN,gianluca-lapadula
LPZMX,maxi-lopez
LRCFR,francesco-della-rocca
LRLRD,leonardo-loria
LRNDL,larangeira-danilo
LRNDN,daniele-lorenzini
LRNST,stefano-lorenzi
LRNVN,vincent-laurini
LRRND,marcelo-larrondo
LRSLV,lorenzo-de-silvestri
LSGKV,kevin-lasagna
LSHST,stephan-el-shaarawy
LSKRC,richard-lasik
LSLBR,luis-alberto
LSLVTR,salvatore-elia
LSMHTM,haitam-aleesami
LSZZN,andrea-lisuzzo
LTCFT,salvador-ichazo
LTLCSC,francesco-latella
LTSBS,sebastian-leto
LTSTTM,timo-letschert
LTTMNL,emmanuel-latte-lath
LTXVC,mattia-caldara
LTZGT,gaetano-letizia
LUCDAV,davide-lucarelli
LUCIA,andrea-luci
LUIPS,pasquale-luiso
LUPOL,arturo-lupoli
LVHLG,luigi-lavecchia
LVLCP,lucas-leiva
LVQPG,claud-adjapong
LVRJNR,maxime-leverbe
LVRMLN,maximiliano-olivera
LVRPB,pablo-alvarez
LVRPL,pablo-alvarez
LVRRC,ricardo-alvarez
LWQFZ,matteo-gasperi
LYMJWD,jawad-el-yamiq
LYNNVC,lyanco
LZRCH,achraf-lazaar
LZWBG,samuel-bastien
LZZCR,christian-terlizzi
LZZNDR,alessandro-lazzarini
LZZRN,andrea-lazzari
MAGNA,francesco-magnanelli
MAIGI,giampiero-maini
MALLEA,aly-malle-
MALRO,roberto-maltagliati
MANAM,amedeo-mangone
MANCS,matteo-mancosu
MANPAL,paolo-mandelli
MARCOA,aurelio-marco
MARDA,dario-marcolin
MAREC,victor-mareco
MARMA,massimo-marazzina
MARPT,pietro-marino
MASRI,riccardo-maspero
MATERA,paolo-matera
MATFLO,matjaz-florijancic
MAUROS,maurizio-rossi
MBBRH,ibrahima-mbaye
MBKJY,jerry-mbakogu
MBLCR,carlos-embalo
MCCMS,massimo-maccarone
MCDMR,macdonald-mariga
MCHLV,levan-mchedlidze
MCLLSS,alessio-miceli
MDBDC,mobido-diakite-
MDRBRT,roberto-amodio
MDRRR,iuri-medeiros
MDRZQ,hans-hateboer
MELIMA,marco-meli
MGGMT,mattia-maggio
MGHNT,innocent-emeghara
MGLFR,francesco-migliore
MGLMR,martin-miglionico
MGMRF,nicolas-castillo
MGNHR,hordur-magnusson
MHSBL,mirko-esposito
MICSA,salvatore-miceli
MILMA,mauro-milanese
MKNST,stephen-makinwa
MKSNK,nikola-maksimovic
MLBKRT,alexander-kert-molberg
MLCFD,federico-melchiorri
MLCHJ,hrvoje-milicevic
MLCRVJ,hrvoje-milic
MLGBR,gabriel-meli
MLGLPP,filippo-melegoni
MLKLN,leonardo-maloku
MLKRK,arkadiusz-milik
MLKSR,sergej-milinkovic-savic
MLLCNZ,vincenzo-millico
MLLMR,marco-mallus
MLLRF,raffaele-maiello
MLNMT,omar-milanetto
MLNNKL,nikola-milenkovic
MLNRC,cristian-molinaro
MLNVNJ,vanja-milinkovic-savic
MLRMT,matteo-melara
MMBCR,ciro-immobile
MMLPT,pietro-iemmello
MMSLD,ledian-memushaj
MNCGW,gianluca-mancini
MNCSL,salvatore-monaco
MNDPD,pedro-mendes
MNDRL,rolando-mandragora
MNFCH,christian-manfredini
MNFRA,francesco-mancini
MNGCC,emanuele-giaccherini
MNJRY,rey-manaj
MNLCL,emanuele-calaio-
MNLKS,kostas-manolas
MNLPC,manuel-pucciarelli
MNNND,daniele-mannini
MNPLG,luigi-monopoli
MNRMC,michelangelo-minieri
MNTLV,riccardo-montolivo
MNTMS,massimo-minetti
MNZFB,fabian-monzon
MOLIN,federico-molinari
MOREL,mauro-morello
MPHZX,lucas-boye-
MQKQR,andrea-danzi
MQMDC,luca-garritano
MQWCL,andrea-liotti
MRCCL,claudio-marchisio
MRCCM,marco-marchionni
MRCMW,mauricio
MRCRW,robert-muric
MRCSR,sergio-marcon
MRDDV,davide-mordini
MRGLS,alessandro-murgia
MRGMC,michel-morganella
MRGMS,massimo-margiotta
MRJJJ,joao-mario
MRJSJ,jose-mauri
MRKCLK,luka-markovic
MRLCQ,luca-mora
MRLGCM,giacomo-murelli
MRLGD,guido-marilungo
MRLLL,enrico-morello
MRLLS,luis-muriel
MRMTK,takayuki-morimoto
MRNFR,francesco-marianini
MRNHC,hector-moreno
MRNNT,antonio-mirante
MRNRCC,ferruccio-mariani
MRNTFN,stefano-marini
MRPRM,marcello-premoli
MRRLC,luca-marrone
MRRNC,nicola-murru
MRROS,marco-rossi
MRSCDM,adam-marusic
MRSNT,antonio-marasco
MRSNZ,enzo-maresca
MRSPL,emerson-palmieri
MRSRM,ramos-emerson
MRTBX,bruno-martella
MRTCN,aleksandar-trajkovski
MRTD9,dries-mertens
MRTDVD,davide-moretti
MRTGL,gilberto-martinez
MRTMB,emiliano-moretti
MRTRP,raphael-martinho
MRXXX,amauri
MRZMT,matias-martinez
MSBNS,massimiliano-benassi
