item,itemLabel
Q4742093,Amedeo Calliari
Q460603,Amedeo Carboni
Q1609696,Amedeo Cattani
Q3613885,Amedeo Degli Esposti
Q3613889,Amedeo Gasparini
Q6999506,Amedeo Ghidoni
Q3613900,Amedeo Mangone
Q4742100,Amedeo Rega
Q3613920,Amedeo Stenti
Q3613926,Amedeo Varese
Q3613958,Amelio Gambini
Q3613960,Amelio Lami
Q1319308,Amerigo Bedetti
Q3614135,Amerigo Paradiso
Q3614145,Amerigo Salati
Q988398,Amilcare Baghino
Q16525918,Amilcare Della Noce
Q3614319,Amilcare Ferretti
Q3614314,Amilcare Gilardoni
Q3614318,Amilcare Pizzi
Q16525922,Amilcare Savojardo
Q3614322,Amilcare Trevisani
Q2546696,Amleto Frignani
Q3614387,Amleto Miniati
Q868401,Amos Adani
Q1540403,Amos Cardarelli
Q1101754,Amos Mariani
Q981079,Ancillotto Ancillotti
Q4754928,Andrea Adamo
Q138351,Andrea Agnelli
Q868951,Andrea Agostinelli
Q869747,Andrea Alberti
Q377019,Andrea Ardito
Q20675901,Andrea Arrighini
Q4754943,Andrea Arrigoni
Q4754946,Andrea Bagnai
Q1027272,Andrea Bandini
Q4754950,Andrea Barberis
Q107051,Andrea Barzagli
Q4754956,Andrea Bavena
Q3615505,Andrea Bearzi Piccinini
Q21620862,Andrea Beduschi
Q28723562,Andrea Beghetto
Q1320010,Andrea Bellini
Q4754963,Andrea Belotti
Q1405915,Andrea Bergamo
Q1407725,Andrea Bernini
Q4754970,Andrea Bertin
Q1408340,Andrea Bertolacci
Q1443617,Andrea Bianchi
Q1443644,Andrea Bianchi
Q1459021,Andrea Bonifacio
Q1460390,Andrea Bonomi
Q1461910,Andrea Borsa
Q1464864,Andrea Boscolo
Q1465538,Andrea Bovo
Q1465748,Andrea Bracaletti
Q16526178,Andrea Bricca
Q19609788,Andrea Brighenti
Q4754987,Andrea Briotti
Q1486253,Andrea Bruniera
Q4754992,Andrea Burato
Q1490351,Andrea Cagnoni
Q1536795,Andrea Campagnolo
Q1536812,Andrea Campana
Q1537040,Andrea Camplone
Q1537685,Andrea Cano
Q1538449,Andrea Capitanio
Q493580,Andrea Capone
Q4755003,Andrea Cappa
Q493589,Andrea Caracciolo
Q1875644,Andrea Carlo Corazza
Q493607,Andrea Carnevale
Q4755007,Andrea Caroppo
Q1606565,Andrea Carozza
Q19364987,Andrea Casarini
Q1609068,Andrea Catellani
Q1610217,Andrea Caverzan
Q1612141,Andrea Cecotti
Q4755013,Andrea Cesaro
Q4755015,Andrea Chiopris Gori
Q20982626,Andrea Chukanov
Q1615665,Andrea Cisco
Q493665,Andrea Cocco
Q251525,Andrea Coda
Q1873932,Andrea Consigli
Q1874174,Andrea Conte
Q1874271,Andrea Conti
Q20882856,Andrea Conti
Q493706,Andrea Cossu
Q672264,Andrea Costa
Q3615646,Andrea Cottini
Q3615648,Andrea Cristiano
Q3615649,Andrea Cuicchi
Q493721,Andrea Cupi
Q3615656,Andrea D'Agostino
Q4755036,Andrea D'amico
Q3615654,Andrea Da Rold
Q3615664,Andrea De Falco
Q4755044,Andrea De Paola
Q4156211,Andrea De Vito
Q3615670,Andrea Deflorio
Q3615672,Andrea Del Bianco
Q664625,Andrea Della Valle
Q3615678,Andrea Di Cintio
Q4755050,Andrea Doninelli
