id,cognome,nome,Altezza,DataNascita,NazioneNascita,LuogoNascita,NazionalitaSportiva,UltimaSquadra,ultimastagione,urlFoto
BOY-STE-96,Boyer,Stephen,196,1996-04-10,FRA,Saint-Denis,FRA,Calzedonia Verona,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BOY-STE-96
BRA-FED-93,Braico,Federico,197,1993-12-20,ITA,Modugno,ITA,Materdominivolley.it Castellana Grotte,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-FED-93
BRA-GEO-87,Bratoev,Georgi,203,1987-10-21,BUL,Sofia,BUL,Diatec Trentino,2015,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-GEO-87
BRA-JAC-89,Brandi,Jacopo,189,1989-01-28,ITA,Sant'Elpidio a Mare,ITA,Videx Grottazzolina,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-JAC-89
BRA-NIC-94,Brandi,Nicolò,185,1994-01-02,ITA,Sant'Elpidio a Mare,ITA,Videx Grottazzolina,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-NIC-94
BRA-ROB-84,Braga,Roberto,204,1984-08-07,ITA,Piove di Sacco,ITA,Emma Villas Siena,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-ROB-84
BRA-VAL-87,Bratoev,Valentin,202,1987-10-21,BUL,Sofia,BUL,Globo Banca Popolare Del Frusinate Sora,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-VAL-87
BRA-VAL-87,Bratoev,Valentin,202,1987-10-21,BUL,Sofia,BUL,Tonno Callipo Vibo Valentia,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRA-VAL-87
BRE-TIZ-94,Bressan,Tiziano,201,1994-02-07,ITA,Trento,ITA,Mosca Bruno Bolzano,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRE-TIZ-94
BRI-AND-97,Briata,Andrea,175,1997-02-20,ITA,La Spezia,ITA,Acqua Fonteviva Massa,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRI-AND-97
BRI-MAT-02,Bricchi,Matteo,NULL,2002-08-20,ITA,Fiorenzuola d'Arda,ITA,Wixo LPR Piacenza,2017,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRI-MAT-02
BRI-MAT-98,Briglia,Mattia,198,1998-02-17,ITA,Massa,ITA,Acqua Fonteviva Apuana Livorno,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRI-MAT-98
BRI-STE-78,Brinkman,Steve,203,1978-01-12,CAN,Toronto,CAN,Itas Diatec Trentino,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRI-STE-78
BRU-DAV-95,Brunetti,Davide,170,1995-07-05,ITA,Bollate,ITA,Tipiesse Cisano Bergamasco,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-DAV-95
BRU-MAN-94,Bruno,Manuel,181,1994-03-20,ITA,Paola,ITA,Conad Lamezia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-MAN-94
BRU-MAR-72,Bruno,Marcello ,193,1972-07-24,ITA,Putignano,ITA,Sidigas Atripalda,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-MAR-72
BRU-MAR-89,Bruno,Martin Nicolas,188,1989-02-24,ARG,Buenos Aires,ARG,Sieco Service Ortona,2013,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-MAR-89
BRU-THE-85,Brunner,Theodore,204,1985-03-17,USA,Palo Alto (California),USA,CMC Ravenna,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-THE-85
BRU-VIT-95,Bruno,Vito,180,1995-08-04,ITA,Acquaviva delle Fonti,ITA,Aurispa Alessano,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BRU-VIT-95
BUC-BAR-95,Bucko,Bartosz,198,1995-01-06,POL,Bielsko-Biala,POL,Calzedonia Verona,2015,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-BAR-95
BUC-EUG-99,Bucchi,Eugenio,195,1999-12-16,ITA,Roma,ITA,Menghi Shoes Macerata,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-EUG-99
BUC-LUC-82,Bucaioni,Luca,198,1982-08-11,ITA,Perugia,ITA,Gi Group Monza,2016,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-LUC-82
BUC-LUC-95,Bucciarelli,Luca,200,1995-01-22,ITA,Foligno,ITA,Kemas Lamipel Santa Croce,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-LUC-95
BUC-LUC-95,Bucciarelli,Luca,200,1995-01-22,ITA,Foligno,ITA,Sir Safety Conad Perugia,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-LUC-95
BUC-PAU-96,Buchegger,Paul,204,1996-03-04,AUT,Linz,AUT,Vero Volley Monza,2018,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUC-PAU-96
BUD-MAU-69,Budani,Mauro,180,1969-06-05,ITA,Roma,ITA,M. Roma Volley,2011,http://www.legavolley.it/FotoAtleta.aspx?Field=FotoTessera&Key=BUD-MAU-69
